X,dl_brate,usage_bbu,rf,lp,hp,lm,hm,lr,hr,pdc,rc
14.700254,538.0293,5.031109,3.7733316,2.4149323,0.8552885,0.35217762,0.35217762,0.025155544,0.025155544,0.5031109,0.5031109
13.79629,504.9442,4.860877,3.6456578,2.333221,0.8263491,0.3402614,0.3402614,0.024304384,0.024304384,0.4860877,0.4860877
8.984623,328.8372,4.0043054,3.0032291,1.9220666,0.6807319,0.28030136,0.28030136,0.020021526,0.020021526,0.40043053,0.40043053
8.36358,306.107,3.897104,2.922828,1.8706099,0.6625077,0.2727973,0.2727973,0.01948552,0.01948552,0.3897104,0.3897104
16.423227,601.0901,5.394297,4.045723,2.5892625,0.9170305,0.3776008,0.3776008,0.026971485,0.026971485,0.5394297,0.5394297
8.347825,305.5304,3.8944373,2.9208279,1.8693298,0.66205436,0.2726106,0.2726106,0.019472186,0.019472186,0.38944373,0.38944373
6.69529,245.0476,3.6037548,2.702816,1.7298023,0.6126383,0.25226283,0.25226283,0.018018773,0.018018773,0.3603755,0.3603755
6.936309,253.8689,3.6489031,2.7366774,1.7514734,0.6203135,0.25542322,0.25542322,0.018244516,0.018244516,0.3648903,0.3648903
7.178153,262.7204,3.6943085,2.7707314,1.7732681,0.62803245,0.2586016,0.2586016,0.018471543,0.018471543,0.36943087,0.36943087
5.7181177,209.2831,3.4171646,2.5628734,1.640239,0.58091795,0.23920152,0.23920152,0.017085822,0.017085822,0.34171647,0.34171647
7.009445,256.5457,3.6626344,2.746976,1.7580645,0.6226478,0.2563844,0.2563844,0.018313171,0.018313171,0.36626345,0.36626345
6.3912954,233.9214,3.5454907,2.6591182,1.7018355,0.60273343,0.24818435,0.24818435,0.017727453,0.017727453,0.35454908,0.35454908
5.4940166,201.081,3.3757155,2.5317867,1.6203434,0.5738716,0.23630008,0.23630008,0.016878577,0.016878577,0.33757156,0.33757156
6.61126,241.9721,3.5880215,2.6910162,1.7222503,0.60996366,0.25116152,0.25116152,0.017940108,0.017940108,0.35880217,0.35880217
6.636115,242.8818,3.592675,2.6945062,1.724484,0.6107547,0.25148726,0.25148726,0.017963374,0.017963374,0.3592675,0.3592675
5.545724,202.9735,3.3850622,2.5387967,1.6248298,0.5754606,0.23695436,0.23695436,0.01692531,0.01692531,0.33850622,0.33850622
5.766268,211.0454,3.4266114,2.5699587,1.6447735,0.58252394,0.2398628,0.2398628,0.017133057,0.017133057,0.34266114,0.34266114
6.5649376,240.2767,3.5793493,2.684512,1.7180877,0.6084894,0.25055444,0.25055444,0.017896745,0.017896745,0.35793492,0.35793492
5.5904756,204.6114,3.3933115,2.5449836,1.6287894,0.576863,0.23753181,0.23753181,0.016966557,0.016966557,0.33933115,0.33933115
5.8631396,214.5909,3.4463077,2.5847306,1.6542276,0.5858723,0.24124154,0.24124154,0.017231537,0.017231537,0.34463078,0.34463078
5.884413,215.3695,3.450681,2.5880108,1.6563268,0.5866158,0.24154767,0.24154767,0.017253404,0.017253404,0.3450681,0.3450681
5.638211,206.3585,3.4021552,2.5516164,1.6330345,0.5783664,0.23815086,0.23815086,0.017010776,0.017010776,0.34021553,0.34021553
5.8701367,214.847,3.4477458,2.5858092,1.654918,0.5861168,0.2413422,0.2413422,0.017238729,0.017238729,0.34477457,0.34477457
5.992033,219.3084,3.471853,2.6038897,1.6664894,0.590215,0.24302971,0.24302971,0.017359264,0.017359264,0.3471853,0.3471853
5.3288608,195.0363,3.3452506,2.5089378,1.6057203,0.5686926,0.23416755,0.23416755,0.016726254,0.016726254,0.33452508,0.33452508
5.7323937,209.8056,3.419846,2.5648847,1.6415261,0.5813738,0.23938923,0.23938923,0.01709923,0.01709923,0.3419846,0.3419846
6.094454,223.057,3.4906476,2.6179857,1.6755108,0.5934101,0.24434534,0.24434534,0.017453237,0.017453237,0.34906477,0.34906477
6.196328,226.7856,3.5093417,2.6320062,1.684484,0.5965881,0.24565393,0.24565393,0.017546708,0.017546708,0.35093418,0.35093418
6.193757,226.6915,3.5088696,2.6316524,1.6842574,0.59650785,0.24562088,0.24562088,0.017544348,0.017544348,0.35088697,0.35088697
7.0876236,259.407,3.677312,2.757984,1.7651097,0.62514305,0.25741184,0.25741184,0.01838656,0.01838656,0.36773118,0.36773118
6.0638633,221.9374,3.4850342,2.6137757,1.6728164,0.5924558,0.2439524,0.2439524,0.01742517,0.01742517,0.34850344,0.34850344
6.367888,233.0647,3.5409083,2.6556811,1.699636,0.6019544,0.24786359,0.24786359,0.01770454,0.01770454,0.35409084,0.35409084
6.265659,229.3231,3.5220635,2.6415477,1.6905904,0.5987508,0.24654445,0.24654445,0.017610317,0.017610317,0.35220635,0.35220635
5.8721914,214.9222,3.4481688,2.5861266,1.655121,0.5861887,0.24137181,0.24137181,0.017240843,0.017240843,0.3448169,0.3448169
5.8086863,212.5979,3.4351127,2.5763345,1.648854,0.5839692,0.24045789,0.24045789,0.017175563,0.017175563,0.34351128,0.34351128
6.8748446,251.6193,3.6373715,2.7280288,1.7459383,0.6183532,0.25461602,0.25461602,0.018186858,0.018186858,0.36373717,0.36373717
5.9745765,218.6695,3.4686499,2.6014874,1.6649519,0.5896705,0.2428055,0.2428055,0.01734325,0.01734325,0.346865,0.346865
6.434662,235.5086,3.5539794,2.6654844,1.7059101,0.6041765,0.24877855,0.24877855,0.017769897,0.017769897,0.35539794,0.35539794
7.3261833,268.1383,3.7217417,2.7913063,1.786436,0.6326961,0.26052192,0.26052192,0.018608708,0.018608708,0.37217417,0.37217417
6.9219947,253.345,3.6462157,2.7346618,1.7501835,0.61985666,0.2552351,0.2552351,0.018231077,0.018231077,0.36462158,0.36462158
7.3161693,267.7718,3.7200322,2.7900243,1.7856154,0.63240546,0.26040226,0.26040226,0.01860016,0.01860016,0.37200323,0.37200323
8.268061,302.611,3.8809395,2.9107046,1.8628509,0.6597597,0.27166575,0.27166575,0.019404696,0.019404696,0.38809395,0.38809395
7.289765,266.8054,3.7151217,2.7863412,1.7832584,0.6315707,0.26005852,0.26005852,0.018575609,0.018575609,0.37151217,0.37151217
10.806651,395.5234,4.3266306,3.244973,2.0767827,0.7355272,0.30286413,0.30286413,0.021633152,0.021633152,0.43266305,0.43266305
9.976069,365.1241,4.175936,3.1319523,2.0044494,0.70990914,0.29231554,0.29231554,0.02087968,0.02087968,0.41759363,0.41759363
12.936057,473.4597,4.7078347,3.5308762,2.2597606,0.8003319,0.32954842,0.32954842,0.023539172,0.023539172,0.47078347,0.47078347
12.558216,459.6307,4.6406913,3.4805183,2.2275317,0.78891754,0.32484838,0.32484838,0.023203457,0.023203457,0.46406913,0.46406913
17.309706,633.5352,5.582758,4.1870685,2.6797237,0.94906884,0.39079306,0.39079306,0.027913788,0.027913788,0.5582758,0.5582758
22.352121,818.0876,6.657894,4.9934206,3.195789,1.131842,0.4660526,0.4660526,0.03328947,0.03328947,0.6657894,0.6657894
31.529156,1153.967,8.596999,6.447749,4.1265597,1.4614899,0.60178995,0.60178995,0.042984996,0.042984996,0.8596999,0.8596999
30.737253,1124.9834,8.430501,6.322876,4.0466404,1.4331852,0.5901351,0.5901351,0.042152505,0.042152505,0.8430501,0.8430501
29.225058,1069.6371,8.112562,6.0844216,3.8940299,1.3791356,0.5678794,0.5678794,0.04056281,0.04056281,0.81125623,0.81125623
38.693447,1416.18,10.108707,7.5815306,4.8521795,1.7184802,0.70760953,0.70760953,0.050543536,0.050543536,1.0108708,1.0108708
41.946514,1535.2423,10.795084,8.096313,5.18164,1.8351643,0.7556559,0.7556559,0.05397542,0.05397542,1.0795084,1.0795084
34.18498,1251.1702,9.156399,6.867299,4.3950715,1.5565878,0.64094794,0.64094794,0.045781992,0.045781992,0.9156399,0.9156399
39.725693,1453.9603,10.326749,7.745062,4.9568396,1.7555473,0.72287244,0.72287244,0.05163374,0.05163374,1.0326749,1.0326749
39.37212,1441.0195,10.252065,7.689049,4.920991,1.742851,0.7176445,0.7176445,0.051260322,0.051260322,1.0252064,1.0252064
39.60847,1449.67,10.3019905,7.726493,4.9449553,1.7513384,0.7211393,0.7211393,0.05150995,0.05150995,1.030199,1.030199
47.97579,1755.9138,12.056679,9.042509,5.7872057,2.0496354,0.8439675,0.8439675,0.060283393,0.060283393,1.2056679,1.2056679
40.59404,1485.7418,10.509896,7.8824224,5.04475,1.7866824,0.73569274,0.73569274,0.05254948,0.05254948,1.0509896,1.0509896
44.43587,1626.3528,11.316525,8.487394,5.431932,1.9238093,0.79215676,0.79215676,0.056582626,0.056582626,1.1316526,1.1316526
46.305,1694.763,11.707335,8.780501,5.6195207,1.990247,0.8195135,0.8195135,0.058536675,0.058536675,1.1707336,1.1707336
52.636482,1926.4953,13.031171,9.773378,6.254962,2.2152991,0.912182,0.912182,0.06515586,0.06515586,1.3031172,1.3031172
47.517017,1739.1228,11.960753,8.970565,5.7411613,2.033328,0.83725274,0.83725274,0.059803765,0.059803765,1.1960753,1.1960753
53.053566,1941.7605,13.118377,9.838782,6.2968206,2.230124,0.9182864,0.9182864,0.06559188,0.06559188,1.3118377,1.3118377
50.534294,1849.555,12.59163,9.443723,6.043982,2.140577,0.8814141,0.8814141,0.06295815,0.06295815,1.259163,1.259163
66.27384,2425.6226,15.884725,11.913544,7.6246676,2.7004032,1.1119307,1.1119307,0.07942362,0.07942362,1.5884725,1.5884725
58.105686,2126.668,14.174717,10.631038,6.803864,2.4097018,0.9922302,0.9922302,0.07087358,0.07087358,1.4174718,1.4174718
72.03882,2636.6206,17.092306,12.819229,8.204307,2.905692,1.1964614,1.1964614,0.08546153,0.08546153,1.7092307,1.7092307
72.750725,2662.6764,17.24143,12.931072,8.275887,2.9310431,1.2069001,1.2069001,0.08620715,0.08620715,1.724143,1.724143
76.62461,2804.4608,18.052889,13.539667,8.665386,3.0689912,1.2637023,1.2637023,0.09026444,0.09026444,1.8052889,1.8052889
58.04706,2124.5223,14.1624565,10.621842,6.797979,2.4076176,0.991372,0.991372,0.07081228,0.07081228,1.4162457,1.4162457
64.51134,2361.1148,15.5155325,11.636649,7.4474554,2.6376405,1.0860872,1.0860872,0.07757766,0.07757766,1.5515532,1.5515532
64.70068,2368.0449,15.555195,11.666396,7.466493,2.6443832,1.0888636,1.0888636,0.07777597,0.07777597,1.5555195,1.5555195
76.14921,2787.0607,17.953304,13.464978,8.617586,3.0520618,1.2567313,1.2567313,0.08976652,0.08976652,1.7953304,1.7953304
63.240616,2314.6065,15.249354,11.437016,7.3196898,2.5923903,1.0674548,1.0674548,0.07624677,0.07624677,1.5249355,1.5249355
56.05347,2051.5569,13.745623,10.309217,6.5978985,2.336756,0.9621936,0.9621936,0.06872811,0.06872811,1.3745623,1.3745623
61.23164,2241.0778,14.828537,11.121403,7.1176977,2.5208514,1.0379976,1.0379976,0.07414268,0.07414268,1.4828538,1.4828538
74.36606,2721.7977,17.579792,13.184844,8.4383,2.9885647,1.2305855,1.2305855,0.087898955,0.087898955,1.7579793,1.7579793
72.2894,2645.7917,17.144796,12.858597,8.229502,2.9146154,1.2001357,1.2001357,0.08572398,0.08572398,1.7144797,1.7144797
89.83201,3287.8514,20.81943,15.614573,9.993326,3.539303,1.45736,1.45736,0.10409714,0.10409714,2.081943,2.081943
80.64994,2951.7876,18.896069,14.172051,9.070113,3.2123318,1.3227248,1.3227248,0.09448034,0.09448034,1.8896068,1.8896068
83.90087,3070.7718,19.577038,14.682778,9.396978,3.3280964,1.3703927,1.3703927,0.097885184,0.097885184,1.9577038,1.9577038
71.54153,2618.4197,16.98814,12.741105,8.154307,2.8879838,1.1891698,1.1891698,0.0849407,0.0849407,1.698814,1.698814
