X,dl_brate,usage_bbu,rf,lp,hp,lm,hm,lr,hr,pdc,rc
5.124306,187.5496,3.3072133,2.48041,1.5874623,0.5622263,0.23150493,0.23150493,0.016536066,0.016536066,0.33072135,0.33072135
6.943727,254.1404,3.650296,2.737722,1.7521421,0.62055033,0.25552073,0.25552073,0.018251479,0.018251479,0.3650296,0.3650296
5.3411202,195.485,3.3475301,2.5106475,1.6068144,0.5690801,0.23432711,0.23432711,0.016737651,0.016737651,0.334753,0.334753
4.1932487,153.4729,3.1440024,2.3580017,1.5091212,0.5344804,0.22008017,0.22008017,0.015720012,0.015720012,0.31440026,0.31440026
5.59094,204.6284,3.3933973,2.545048,1.6288307,0.57687753,0.23753782,0.23753782,0.016966986,0.016966986,0.33933973,0.33933973
4.7157598,172.5968,3.2312577,2.4234433,1.5510037,0.5493138,0.22618803,0.22618803,0.016156288,0.016156288,0.32312578,0.32312578
4.2461476,155.409,3.1505923,2.3629441,1.5122843,0.5356007,0.22054146,0.22054146,0.015752962,0.015752962,0.31505924,0.31505924
3.8083172,139.3844,3.096386,2.3222895,1.4862652,0.5263856,0.21674702,0.21674702,0.015481929,0.015481929,0.3096386,0.3096386
3.131063,114.5969,3.017737,2.2633028,1.4485136,0.5130153,0.21124159,0.21124159,0.015088684,0.015088684,0.3017737,0.3017737
2.9674973,108.6104,2.9988942,2.2491708,1.4394692,0.509812,0.2099226,0.2099226,0.01499447,0.01499447,0.29988942,0.29988942
3.3884811,124.0184,3.047392,2.285544,1.462748,0.51805663,0.21331744,0.21331744,0.015236959,0.015236959,0.3047392,0.3047392
2.7050712,99.0056,2.9707344,2.2280507,1.4259524,0.50502485,0.20795141,0.20795141,0.014853671,0.014853671,0.29707345,0.29707345
2.6573007,97.2572,2.9657862,2.2243397,1.4235773,0.50418365,0.20760503,0.20760503,0.014828931,0.014828931,0.29657862,0.29657862
3.4639046,126.7789,3.0560808,2.2920606,1.4669187,0.51953375,0.21392566,0.21392566,0.015280404,0.015280404,0.3056081,0.3056081
2.7718964,101.4514,2.9776568,2.2332425,1.4292753,0.5062017,0.20843598,0.20843598,0.014888284,0.014888284,0.2977657,0.2977657
2.5794263,94.407,2.9595454,2.219659,1.4205817,0.50312275,0.20716818,0.20716818,0.014797727,0.014797727,0.29595456,0.29595456
2.825052,103.3969,2.9831626,2.237372,1.431918,0.50713766,0.20882139,0.20882139,0.014915813,0.014915813,0.29831627,0.29831627
2.6195302,95.8748,2.9622042,2.2216532,1.421858,0.5035747,0.20735429,0.20735429,0.01481102,0.01481102,0.29622042,0.29622042
2.499033,91.4646,2.9542146,2.215661,1.418023,0.50221646,0.20679502,0.20679502,0.014771072,0.014771072,0.29542145,0.29542145
2.6019974,95.2331,2.961042,2.2207813,1.4213,0.50337714,0.20727293,0.20727293,0.014805209,0.014805209,0.2961042,0.2961042
3.0776503,112.642,3.011584,2.258688,1.4455603,0.51196927,0.21081088,0.21081088,0.01505792,0.01505792,0.3011584,0.3011584
2.799044,102.445,2.9804688,2.2353516,1.430625,0.5066797,0.20863281,0.20863281,0.014902343,0.014902343,0.2980469,0.2980469
2.5794892,94.4093,2.9595497,2.2196622,1.4205838,0.50312346,0.20716847,0.20716847,0.014797748,0.014797748,0.29595497,0.29595497
2.5498142,93.3232,2.957582,2.2181864,1.4196393,0.50278896,0.20703074,0.20703074,0.01478791,0.01478791,0.29575822,0.29575822
2.6663935,97.59,2.9667284,2.2250464,1.4240296,0.50434387,0.20767099,0.20767099,0.014833642,0.014833642,0.29667285,0.29667285
2.9133554,106.6288,2.992657,2.2444928,1.4364753,0.5087517,0.209486,0.209486,0.014963284,0.014963284,0.2992657,0.2992657
2.6582623,97.2924,2.9658859,2.2244143,1.4236252,0.5042006,0.20761201,0.20761201,0.014829429,0.014829429,0.2965886,0.2965886
2.6156833,95.734,2.9619493,2.221462,1.4217356,0.5035314,0.20733646,0.20733646,0.014809746,0.014809746,0.29619494,0.29619494
2.521869,92.3004,2.9557292,2.2167969,1.41875,0.50247395,0.20690104,0.20690104,0.014778646,0.014778646,0.29557294,0.29557294
2.844462,104.1073,2.9851735,2.2388802,1.4328833,0.5074795,0.20896214,0.20896214,0.014925867,0.014925867,0.29851735,0.29851735
2.7151613,99.3749,2.9717798,2.2288349,1.4264543,0.5052026,0.20802459,0.20802459,0.014858899,0.014858899,0.297178,0.297178
2.6702158,97.7299,2.967124,2.225343,1.4242195,0.5044111,0.20769867,0.20769867,0.014835619,0.014835619,0.2967124,0.2967124
