X,dl_brate,usage_bbu,rf,lp,hp,lm,hm,lr,hr,pdc,rc
9.558314,349.8343,4.101138,3.0758536,1.9685463,0.6971935,0.28707966,0.28707966,0.020505691,0.020505691,0.4101138,0.4101138
15.077218,551.8262,5.1081047,3.8310785,2.4518902,0.8683778,0.35756734,0.35756734,0.025540523,0.025540523,0.5108105,0.5108105
10.3642025,379.3298,4.246356,3.184767,2.038251,0.72188056,0.29724494,0.29724494,0.02123178,0.02123178,0.42463562,0.42463562
7.285399,266.6456,3.7143102,2.7857327,1.7828689,0.6314327,0.26000172,0.26000172,0.01857155,0.01857155,0.37143102,0.37143102
6.1348033,224.5338,3.4980516,2.6235387,1.6790648,0.5946688,0.24486361,0.24486361,0.017490258,0.017490258,0.34980518,0.34980518
7.021779,256.9971,3.6649501,2.7487125,1.759176,0.6230415,0.2565465,0.2565465,0.01832475,0.01832475,0.366495,0.366495
6.717246,245.8512,3.607865,2.7058988,1.7317752,0.6133371,0.25255057,0.25255057,0.018039325,0.018039325,0.36078653,0.36078653
7.6092,278.4967,3.769578,2.8271835,1.8093973,0.64082825,0.26387045,0.26387045,0.01884789,0.01884789,0.3769578,0.3769578
7.5046372,274.6697,3.7519047,2.8139286,1.8009143,0.6378238,0.26263332,0.26263332,0.018759523,0.018759523,0.37519047,0.37519047
6.503765,238.0378,3.567507,2.6756303,1.7124033,0.6064762,0.24972549,0.24972549,0.017837536,0.017837536,0.3567507,0.3567507
6.1447654,224.8984,3.4998796,2.6249096,1.6799421,0.5949795,0.24499157,0.24499157,0.017499398,0.017499398,0.34998795,0.34998795
6.807036,249.1375,3.6246758,2.7185068,1.7398443,0.6161949,0.25372732,0.25372732,0.018123379,0.018123379,0.3624676,0.3624676
6.408342,234.5453,3.5488274,2.6616206,1.7034371,0.6033007,0.24841791,0.24841791,0.017744137,0.017744137,0.35488275,0.35488275
5.735945,209.9356,3.4205394,2.5654044,1.6418588,0.5814917,0.23943776,0.23943776,0.017102696,0.017102696,0.34205395,0.34205395
6.177511,226.0969,3.5058887,2.6294165,1.6828265,0.5960011,0.24541222,0.24541222,0.017529443,0.017529443,0.3505889,0.3505889
6.813962,249.391,3.6259725,2.7194793,1.7404667,0.6164153,0.25381806,0.25381806,0.018129863,0.018129863,0.36259726,0.36259726
5.7564893,210.6875,3.4246538,2.5684903,1.6438338,0.58219117,0.23972577,0.23972577,0.017123269,0.017123269,0.34246537,0.34246537
6.723295,246.0726,3.6089976,2.7067482,1.7323188,0.6135296,0.25262985,0.25262985,0.018044988,0.018044988,0.36089978,0.36089978
7.47203,273.4763,3.746393,2.8097947,1.7982686,0.63688684,0.2622475,0.2622475,0.018731965,0.018731965,0.3746393,0.3746393
5.6316533,206.1185,3.400924,2.550693,1.6324434,0.57815707,0.23806468,0.23806468,0.01700462,0.01700462,0.3400924,0.3400924
