X,dl_brate,usage_bbu,rf,lp,hp,lm,hm,lr,hr,pdc,rc
5.124306,187.5496,5.32597,3.9944777,2.5564656,0.90541494,0.3728179,0.3728179,0.02662985,0.02662985,0.532597,0.532597
6.943727,254.1404,6.190464,4.642848,2.9714227,1.0523789,0.43333247,0.43333247,0.03095232,0.03095232,0.6190464,0.6190464
5.3411202,195.485,5.423624,4.067718,2.6033394,0.9220161,0.3796537,0.3796537,0.02711812,0.02711812,0.5423624,0.5423624
4.1932487,153.4729,4.9344397,3.7008297,2.368531,0.83885473,0.34541076,0.34541076,0.024672197,0.024672197,0.49344397,0.49344397
5.59094,204.6284,5.536144,4.1521077,2.6573489,0.94114447,0.38753006,0.38753006,0.027680717,0.027680717,0.5536144,0.5536144
4.7157598,172.5968,5.147401,3.8605506,2.4707522,0.8750582,0.36031806,0.36031806,0.025737004,0.025737004,0.5147401,0.5147401
4.2461476,155.409,4.9546614,3.715996,2.3782375,0.8422924,0.3468263,0.3468263,0.024773307,0.024773307,0.49546614,0.49546614
3.8083172,139.3844,4.798866,3.5991492,2.3034556,0.8158072,0.3359206,0.3359206,0.023994328,0.023994328,0.4798866,0.4798866
3.131063,114.5969,4.551866,3.4138994,2.1848958,0.77381724,0.31863064,0.31863064,0.02275933,0.02275933,0.4551866,0.4551866
2.9674973,108.6104,4.4880567,3.3660426,2.154267,0.7629696,0.31416395,0.31416395,0.022440283,0.022440283,0.44880566,0.44880566
3.3884811,124.0184,4.649472,3.4871042,2.2317467,0.7904103,0.32546306,0.32546306,0.023247361,0.023247361,0.46494722,0.46494722
2.7050712,99.0056,4.383696,3.2877722,2.1041741,0.74522835,0.30685872,0.30685872,0.02191848,0.02191848,0.4383696,0.4383696
2.6573007,97.2572,4.3644457,3.2733343,2.094934,0.74195576,0.3055112,0.3055112,0.021822227,0.021822227,0.43644458,0.43644458
3.4639046,126.7789,4.677299,3.5079741,2.2451036,0.79514086,0.32741094,0.32741094,0.023386495,0.023386495,0.4677299,0.4677299
2.7718964,101.4514,4.4109135,3.308185,2.1172385,0.7498553,0.30876395,0.30876395,0.022054566,0.022054566,0.44109136,0.44109136
2.5794263,94.407,4.3334246,3.2500684,2.0800438,0.7366822,0.30333972,0.30333972,0.021667123,0.021667123,0.43334246,0.43334246
2.825052,103.3969,4.432188,3.324141,2.1274502,0.753472,0.31025317,0.31025317,0.02216094,0.02216094,0.4432188,0.4432188
2.6195302,95.8748,4.349313,3.2619846,2.08767,0.73938316,0.30445188,0.30445188,0.021746563,0.021746563,0.43493128,0.43493128
2.499033,91.4646,4.3026185,3.226964,2.0652568,0.73144513,0.30118328,0.30118328,0.021513091,0.021513091,0.43026185,0.43026185
2.6019974,95.2331,4.342288,3.256716,2.0842981,0.738189,0.30396017,0.30396017,0.021711439,0.021711439,0.4342288,0.4342288
3.0776503,112.642,4.5311103,3.3983326,2.174933,0.77028877,0.3171777,0.3171777,0.02265555,0.02265555,0.45311102,0.45311102
2.799044,102.445,4.421785,3.3163385,2.1224568,0.75170344,0.30952495,0.30952495,0.022108924,0.022108924,0.4421785,0.4421785
2.5794892,94.4093,4.3334494,3.250087,2.0800557,0.7366864,0.30334145,0.30334145,0.021667246,0.021667246,0.43334493,0.43334493
2.5498142,93.3232,4.3220196,3.2415147,2.0745695,0.73474336,0.30254138,0.30254138,0.021610098,0.021610098,0.43220195,0.43220195
2.6663935,97.59,4.3680887,3.2760665,2.0966825,0.7425751,0.30576622,0.30576622,0.021840444,0.021840444,0.43680888,0.43680888
2.9133554,106.6288,4.466822,3.3501167,2.1440747,0.7593598,0.31267756,0.31267756,0.02233411,0.02233411,0.4466822,0.4466822
2.6582623,97.2924,4.364831,3.2736232,2.0951188,0.74202126,0.30553818,0.30553818,0.021824155,0.021824155,0.43648311,0.43648311
2.6156833,95.734,4.347771,3.2608285,2.08693,0.7391211,0.30434397,0.30434397,0.021738855,0.021738855,0.4347771,0.4347771
2.521869,92.3004,4.311256,3.2334418,2.0694027,0.7329135,0.3017879,0.3017879,0.021556279,0.021556279,0.4311256,0.4311256
2.844462,104.1073,4.439801,3.329851,2.1311045,0.7547662,0.3107861,0.3107861,0.022199005,0.022199005,0.44398013,0.44398013
2.7151613,99.3749,4.387838,3.2908783,2.106162,0.74593246,0.30714867,0.30714867,0.021939188,0.021939188,0.4387838,0.4387838
2.6702158,97.7299,4.36962,3.277215,2.0974176,0.7428354,0.3058734,0.3058734,0.0218481,0.0218481,0.43696198,0.43696198
3.02844,110.8409,4.5119596,3.3839698,2.1657405,0.76703316,0.31583717,0.31583717,0.022559797,0.022559797,0.45119596,0.45119596
2.733418,100.0431,4.3953323,3.2964993,2.1097596,0.7472065,0.30767328,0.30767328,0.021976661,0.021976661,0.43953323,0.43953323
2.6386776,96.5756,4.356984,3.267738,2.0913522,0.7406873,0.3049889,0.3049889,0.02178492,0.02178492,0.43569842,0.43569842
3.3641558,123.1281,4.640498,3.4803736,2.2274392,0.7888847,0.32483488,0.32483488,0.02320249,0.02320249,0.46404982,0.46404982
3.327287,121.7787,4.6268954,3.4701715,2.2209098,0.7865722,0.32388267,0.32388267,0.023134477,0.023134477,0.46268955,0.46268955
5.025022,183.9158,5.281193,3.9608946,2.5349724,0.89780277,0.3696835,0.3696835,0.026405964,0.026405964,0.52811927,0.52811927
3.0744345,112.5243,4.529861,3.3973956,2.1743333,0.7700764,0.31709027,0.31709027,0.022649305,0.022649305,0.4529861,0.4529861
4.799954,175.6783,5.1830745,3.8873057,2.4878757,0.88112265,0.3628152,0.3628152,0.025915371,0.025915371,0.51830745,0.51830745
4.5962734,168.2236,5.0967746,3.8225808,2.4464517,0.8664517,0.3567742,0.3567742,0.025483873,0.025483873,0.50967747,0.50967747
5.1138144,187.1656,5.321245,3.990934,2.5541975,0.9046117,0.37248716,0.37248716,0.026606224,0.026606224,0.5321245,0.5321245
4.586213,167.8554,5.092512,3.819384,2.4444058,0.86572707,0.35647586,0.35647586,0.02546256,0.02546256,0.50925124,0.50925124
5.5869155,204.4811,5.534331,4.1507483,2.6564786,0.94083625,0.38740316,0.38740316,0.027671654,0.027671654,0.5534331,0.5534331
6.492249,237.6163,5.9566126,4.4674597,2.859174,1.0126241,0.4169629,0.4169629,0.029783063,0.029783063,0.5956613,0.5956613
6.9480333,254.298,6.192723,4.644542,2.9725068,1.0527629,0.4334906,0.4334906,0.030963613,0.030963613,0.6192723,0.6192723
12.963563,474.4664,9.744248,7.3081865,4.677239,1.6565223,0.6820974,0.6820974,0.048721243,0.048721243,0.97442484,0.97442484
16.150007,591.0903,11.764251,8.823188,5.64684,1.9999226,0.82349753,0.82349753,0.058821253,0.058821253,1.1764251,1.1764251
15.172435,555.3111,11.136022,8.352016,5.34529,1.8931237,0.7795215,0.7795215,0.055680107,0.055680107,1.1136022,1.1136022
18.040545,660.2839,12.979446,9.734585,6.230134,2.206506,0.9085612,0.9085612,0.06489723,0.06489723,1.2979447,1.2979447
24.721827,904.8188,17.298336,12.973752,8.303201,2.9407172,1.2108835,1.2108835,0.08649168,0.08649168,1.7298336,1.7298336
26.456131,968.2944,18.42555,13.819162,8.844264,3.1323435,1.2897885,1.2897885,0.09212775,0.09212775,1.842555,1.842555
31.75565,1162.2567,21.869009,16.401756,10.497124,3.7177315,1.5308306,1.5308306,0.10934504,0.10934504,2.1869009,2.1869009
39.826256,1457.6409,27.12186,20.341396,13.018493,4.6107163,1.8985302,1.8985302,0.1356093,0.1356093,2.712186,2.712186
42.59527,1558.9867,28.925814,21.69436,13.88439,4.9173884,2.024807,2.024807,0.14462906,0.14462906,2.8925815,2.8925815
42.145603,1542.5291,28.632864,21.474648,13.743774,4.867587,2.0043006,2.0043006,0.14316432,0.14316432,2.8632865,2.8632865
46.782547,1712.2411,31.655592,23.741693,15.194684,5.3814507,2.2158914,2.2158914,0.15827796,0.15827796,3.1655593,3.1655593
48.928467,1790.7819,33.062405,24.796803,15.869954,5.620609,2.3143682,2.3143682,0.16531202,0.16531202,3.3062406,3.3062406
47.97716,1755.964,32.438755,24.329067,15.570602,5.5145884,2.2707129,2.2707129,0.16219378,0.16219378,3.2438755,3.2438755
53.931602,1973.8966,36.342358,27.256767,17.444332,6.1782007,2.543965,2.543965,0.18171178,0.18171178,3.6342359,3.6342359
51.309933,1877.9435,34.623646,25.967735,16.61935,5.8860197,2.4236553,2.4236553,0.17311822,0.17311822,3.4623647,3.4623647
51.74,1893.6839,34.90559,26.179192,16.754683,5.9339504,2.4433913,2.4433913,0.17452794,0.17452794,3.490559,3.490559
56.245213,2058.5748,37.859108,28.394331,18.17237,6.4360485,2.6501377,2.6501377,0.18929553,0.18929553,3.7859108,3.7859108
62.189037,2276.1186,41.755753,31.316814,20.04276,7.098478,2.9229026,2.9229026,0.20877875,0.20877875,4.1755753,4.1755753
59.127647,2164.0718,39.748768,29.811577,19.079409,6.757291,2.7824137,2.7824137,0.19874384,0.19874384,3.9748769,3.9748769
